,Year,Location,Question,Value,Sample_Size,Total,Age,Education,Gender,Income,Race/Ethnicity
2441,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,34.9,403.0,,,,,"$25,000 - $34,999",
2442,2018,Maryland,Percent of adults aged 18 years and older who have obesity,36.6,804.0,,,,,"Less than $15,000",
2443,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,32.5,2171.0,,35 - 44,,,,
2444,2018,Virginia,Percent of adults aged 18 years and older who have obesity,27.7,435.0,,,,,,Hispanic
2445,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.7,1147.0,,55 - 64,,,,
2446,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,39.7,891.0,,45 - 54,,,,
2447,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,33.8,7331.0,,,,Female,,
2449,2018,Michigan,Percent of adults aged 18 years and older who have obesity,38.9,1475.0,,45 - 54,,,,
2450,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2451,2018,Washington,Percent of adults aged 18 years and older who have obesity,34.7,1583.0,,45 - 54,,,,
2452,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,24.4,1420.0,,,College graduate,,,
2453,2018,Arizona,Percent of adults aged 18 years and older who have obesity,33.9,1023.0,,,,,,Hispanic
2454,2018,Washington,Percent of adults aged 18 years and older who have obesity,32.6,1767.0,,,,,"$50,000 - $74,999",
2455,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,31.7,684.0,,,,,"$50,000 - $74,999",
2456,2018,Guam,Percent of adults aged 18 years and older who have obesity,35.9,127.0,,,,,,2 or more races
2457,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,31.8,1308.0,,65 or older,,,,
2459,2018,Kansas,Percent of adults aged 18 years and older who have obesity,41.2,394.0,,,,,,Non-Hispanic Black
2460,2018,Washington,Percent of adults aged 18 years and older who have obesity,33.5,107.0,,,,,,Other
2461,2018,California,Percent of adults aged 18 years and older who have obesity,22.9,1078.0,,,,,Data not reported,
2462,2018,Utah,Percent of adults aged 18 years and older who have obesity,34.0,1506.0,,45 - 54,,,,
2463,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,30.6,1513.0,,,College graduate,,,
2464,2018,Nevada,Percent of adults aged 18 years and older who have obesity,25.2,997.0,,,College graduate,,,
2465,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,33.1,446.0,,,,,"$25,000 - $34,999",
2466,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,26.4,5204.0,,,,Female,,
2467,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,34.4,354.0,,,,,"Less than $15,000",
2468,2018,Colorado,Percent of adults aged 18 years and older who have obesity,20.1,1109.0,,,,,Data not reported,
2470,2018,Missouri,Percent of adults aged 18 years and older who have obesity,41.9,568.0,,35 - 44,,,,
2471,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,34.8,1298.0,,,Some college or technical school,,,
2474,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,43.0,1054.0,,55 - 64,,,,
2475,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,41.8,2555.0,,,,,,Non-Hispanic Black
2477,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,28.0,2193.0,,,,Female,,
2478,2018,Washington,Percent of adults aged 18 years and older who have obesity,9.8,352.0,,,,,,Asian
2479,2018,Iowa,Percent of adults aged 18 years and older who have obesity,38.1,696.0,,,,,"$25,000 - $34,999",
2480,2018,Idaho,Percent of adults aged 18 years and older who have obesity,32.7,249.0,,,Less than high school,,,
2481,2018,Vermont,Percent of adults aged 18 years and older who have obesity,33.8,961.0,,45 - 54,,,,
2483,2018,Nevada,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2484,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,41.6,592.0,,,,,,American Indian/Alaska Native
2485,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,37.3,903.0,,,,,"$15,000 - $24,999",
2486,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,30.6,500.0,,,,,"$35,000 - $49,999",
2487,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,26.1,1835.0,,,,,,Non-Hispanic White
2488,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,36.9,605.0,,,,,"$35,000 - $49,999",
2489,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,30.1,15631.0,Total,,,,,
2490,2018,Ohio,Percent of adults aged 18 years and older who have obesity,7.3,84.0,,,,,,Asian
2491,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
2492,2018,Georgia,Percent of adults aged 18 years and older who have obesity,28.2,1260.0,,,,,Data not reported,
2493,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,33.3,3849.0,,,,,,Non-Hispanic White
2494,2018,Michigan,Percent of adults aged 18 years and older who have obesity,34.0,212.0,,,,,,2 or more races
2495,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,38.7,51.0,,,,,,Other
2496,2018,Delaware,Percent of adults aged 18 years and older who have obesity,33.5,2510.0,,,,Female,,
2497,2018,Utah,Percent of adults aged 18 years and older who have obesity,27.7,3017.0,,,Some college or technical school,,,
2498,2018,Maryland,Percent of adults aged 18 years and older who have obesity,31.2,257.0,,,,,,2 or more races
2499,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,24.8,1546.0,,,College graduate,,,
2500,2018,Arizona,Percent of adults aged 18 years and older who have obesity,29.4,2366.0,,,Some college or technical school,,,
2501,2018,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2503,2018,Iowa,Percent of adults aged 18 years and older who have obesity,32.5,2658.0,,,,,"$75,000 or greater",
2504,2018,Illinois,Percent of adults aged 18 years and older who have obesity,28.3,1735.0,,,,,"$75,000 or greater",
2506,2018,Michigan,Percent of adults aged 18 years and older who have obesity,34.3,2455.0,,,High school graduate,,,
2508,2018,New York,Percent of adults aged 18 years and older who have obesity,30.8,2796.0,,,,,"$25,000 - $34,999",
2509,2018,Idaho,Percent of adults aged 18 years and older who have obesity,36.4,441.0,,45 - 54,,,,
2510,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,32.5,799.0,,,,,"$50,000 - $74,999",
2511,2018,Iowa,Percent of adults aged 18 years and older who have obesity,40.7,1125.0,,,,,"$35,000 - $49,999",
2512,2018,Ohio,Percent of adults aged 18 years and older who have obesity,33.8,5233.0,,,,Male,,
2513,2018,Maine,Percent of adults aged 18 years and older who have obesity,33.2,2954.0,,,High school graduate,,,
2515,2018,New York,Percent of adults aged 18 years and older who have obesity,29.0,8541.0,,,Some college or technical school,,,
2516,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,32.3,1719.0,,,High school graduate,,,
2517,2018,Florida,Percent of adults aged 18 years and older who have obesity,39.4,1983.0,,45 - 54,,,,
2518,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,34.3,2493.0,,,College graduate,,,
2519,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,31.7,400.0,,35 - 44,,,,
2520,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2522,2018,Delaware,Percent of adults aged 18 years and older who have obesity,18.4,253.0,,18 - 24,,,,
2523,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,30.1,6630.0,Total,,,,,
2524,2018,Oregon,Percent of adults aged 18 years and older who have obesity,27.9,1649.0,,65 or older,,,,
2526,2018,Alaska,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
2527,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic White
2528,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,32.3,912.0,,,,,Data not reported,
2530,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,27.1,1326.0,,,Some college or technical school,,,
2532,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,30.5,3699.0,,,,,"$75,000 or greater",
2534,2018,Georgia,Percent of adults aged 18 years and older who have obesity,32.2,718.0,,,,,"$25,000 - $34,999",
2535,2018,New York,Percent of adults aged 18 years and older who have obesity,24.3,9206.0,,,,,"$75,000 or greater",
2538,2018,Kansas,Percent of adults aged 18 years and older who have obesity,33.3,4762.0,,,,Male,,
2539,2018,Ohio,Percent of adults aged 18 years and older who have obesity,29.4,3521.0,,,College graduate,,,
2540,2018,Kansas,Percent of adults aged 18 years and older who have obesity,34.4,9901.0,Total,,,,,
2541,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,28.2,1106.0,,,,,Data not reported,
2543,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,37.3,1164.0,,55 - 64,,,,
2544,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,36.2,1705.0,,,High school graduate,,,
2545,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,32.6,1681.0,,,,,"$15,000 - $24,999",
2547,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,18.2,2534.0,,,,,,Non-Hispanic White
2549,2018,Michigan,Percent of adults aged 18 years and older who have obesity,40.1,1197.0,,,,,"$15,000 - $24,999",
2550,2018,Indiana,Percent of adults aged 18 years and older who have obesity,15.2,60.0,,,,,,Asian
2551,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,32.5,493.0,,,,,"$15,000 - $24,999",
2552,2018,Guam,Percent of adults aged 18 years and older who have obesity,13.0,484.0,,,,,,Asian
2553,2018,Montana,Percent of adults aged 18 years and older who have obesity,25.8,2467.0,,,,Female,,
2554,2018,National,Percent of adults aged 18 years and older who have obesity,28.9,141677.0,,65 or older,,,,
2556,2018,Virginia,Percent of adults aged 18 years and older who have obesity,26.9,3476.0,,,,,"$75,000 or greater",
2557,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,39.5,1000.0,,55 - 64,,,,
2558,2018,Alaska,Percent of adults aged 18 years and older who have obesity,32.7,90.0,,,,,,2 or more races
2559,2018,Utah,Percent of adults aged 18 years and older who have obesity,31.7,722.0,,,,,"$25,000 - $34,999",
2560,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,28.1,1382.0,,,Some college or technical school,,,
2562,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,34.9,1795.0,,,,,"$75,000 or greater",
2563,2018,Florida,Percent of adults aged 18 years and older who have obesity,36.1,2422.0,,,,,"$15,000 - $24,999",
2564,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,41.1,1660.0,,,High school graduate,,,
2565,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,Total,,,,,
2566,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,38.0,1160.0,,,,,"$15,000 - $24,999",
2567,2018,Colorado,Percent of adults aged 18 years and older who have obesity,25.7,1721.0,,,High school graduate,,,
2568,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,34.4,669.0,,,,,"$35,000 - $49,999",
2569,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,17.5,161.0,,18 - 24,,,,
2570,2018,California,Percent of adults aged 18 years and older who have obesity,32.0,1223.0,,,,,"$15,000 - $24,999",
2571,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,37.9,907.0,,55 - 64,,,,
2572,2018,Nevada,Percent of adults aged 18 years and older who have obesity,37.6,464.0,,45 - 54,,,,
2573,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,21.4,82.0,,,,,,American Indian/Alaska Native
2574,2018,Washington,Percent of adults aged 18 years and older who have obesity,21.2,4974.0,,,College graduate,,,
2575,2018,Kansas,Percent of adults aged 18 years and older who have obesity,16.4,108.0,,,,,,Asian
2576,2018,Texas,Percent of adults aged 18 years and older who have obesity,33.1,6380.0,,,,,,Non-Hispanic White
2577,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,39.7,524.0,,,,,"$35,000 - $49,999",
2578,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,42.0,116.0,,,,,,2 or more races
2580,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,25.4,780.0,,,,,Data not reported,
2581,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,29.0,66.0,,,,,,Other
2583,2018,Indiana,Percent of adults aged 18 years and older who have obesity,40.6,1071.0,,45 - 54,,,,
2584,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,24.0,2103.0,,,Some college or technical school,,,
2585,2018,Arizona,Percent of adults aged 18 years and older who have obesity,28.7,120.0,,,,,,2 or more races
2586,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
2587,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,33.0,1606.0,,,College graduate,,,
2588,2018,Guam,Percent of adults aged 18 years and older who have obesity,30.8,824.0,,,,Female,,
2589,2018,Iowa,Percent of adults aged 18 years and older who have obesity,36.0,4186.0,,,,Male,,
2590,2018,Ohio,Percent of adults aged 18 years and older who have obesity,34.8,1480.0,,,,,"$35,000 - $49,999",
2591,2018,Georgia,Percent of adults aged 18 years and older who have obesity,35.0,2113.0,,,High school graduate,,,
2592,2018,Idaho,Percent of adults aged 18 years and older who have obesity,10.7,246.0,,18 - 24,,,,
2593,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,28.3,2204.0,,65 or older,,,,
2594,2018,Alaska,Percent of adults aged 18 years and older who have obesity,29.2,1876.0,,,,,,Non-Hispanic White
2595,2018,Vermont,Percent of adults aged 18 years and older who have obesity,27.5,6021.0,Total,,,,,
2596,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,30.0,1378.0,,,,,Data not reported,
2597,2018,California,Percent of adults aged 18 years and older who have obesity,29.3,1294.0,,,,,"$50,000 - $74,999",
2598,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2599,2018,Idaho,Percent of adults aged 18 years and older who have obesity,32.1,226.0,,,,,,Hispanic
2600,2018,Indiana,Percent of adults aged 18 years and older who have obesity,39.4,524.0,,,,,,Non-Hispanic Black
2602,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,39.1,1025.0,,,,,"$25,000 - $34,999",
2603,2018,Illinois,Percent of adults aged 18 years and older who have obesity,32.9,1175.0,,,High school graduate,,,
2604,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,32.7,2038.0,,,Some college or technical school,,,
2607,2018,Vermont,Percent of adults aged 18 years and older who have obesity,35.5,1598.0,,,High school graduate,,,
2608,2018,Delaware,Percent of adults aged 18 years and older who have obesity,30.2,423.0,,25 - 34,,,,
2609,2018,Delaware,Percent of adults aged 18 years and older who have obesity,39.7,721.0,,45 - 54,,,,
2610,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,22.3,197.0,,18 - 24,,,,
2611,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,37.7,2464.0,,,High school graduate,,,
2612,2018,Michigan,Percent of adults aged 18 years and older who have obesity,35.5,260.0,,,,,,Hispanic
2614,2018,New York,Percent of adults aged 18 years and older who have obesity,30.9,3444.0,,,,,"$35,000 - $49,999",
2615,2018,Arizona,Percent of adults aged 18 years and older who have obesity,35.4,1482.0,,55 - 64,,,,
2616,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,,,,,,,,2 or more races
2617,2018,Colorado,Percent of adults aged 18 years and older who have obesity,32.2,113.0,,,,,,2 or more races
2618,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,30.3,1385.0,,,,,Data not reported,
2619,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
2620,2018,Iowa,Percent of adults aged 18 years and older who have obesity,37.4,350.0,,,,,,Hispanic
2621,2018,Maine,Percent of adults aged 18 years and older who have obesity,26.5,2396.0,,,,,"$75,000 or greater",
2622,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,34.9,1908.0,,,,Male,,
2624,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
2626,2018,New York,Percent of adults aged 18 years and older who have obesity,24.0,507.0,,,,,,Other
2627,2018,Delaware,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2628,2018,Ohio,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2629,2018,Virginia,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2632,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,37.9,573.0,,,,,"$25,000 - $34,999",
2633,2018,Arizona,Percent of adults aged 18 years and older who have obesity,29.5,7449.0,Total,,,,,
2634,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,40.7,505.0,,35 - 44,,,,
2635,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2636,2018,Utah,Percent of adults aged 18 years and older who have obesity,27.1,8353.0,,,,,,Non-Hispanic White
2637,2018,Ohio,Percent of adults aged 18 years and older who have obesity,38.9,1766.0,,45 - 54,,,,
2638,2018,Kansas,Percent of adults aged 18 years and older who have obesity,38.3,1213.0,,,,,"$15,000 - $24,999",
2639,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,30.6,388.0,,,,,"$25,000 - $34,999",
2643,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,26.1,1054.0,,,,,"$50,000 - $74,999",
2644,2018,Missouri,Percent of adults aged 18 years and older who have obesity,40.1,711.0,,,,,"$35,000 - $49,999",
2646,2018,National,Percent of adults aged 18 years and older who have obesity,35.4,30647.0,,,,,"Less than $15,000",
2649,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,25.7,723.0,,25 - 34,,,,
2651,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,35.7,2555.0,,45 - 54,,,,
2652,2018,Colorado,Percent of adults aged 18 years and older who have obesity,29.8,1134.0,,,,,,Hispanic
2653,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,26.4,1736.0,,65 or older,,,,
2654,2018,Montana,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
2655,2018,Michigan,Percent of adults aged 18 years and older who have obesity,37.9,702.0,,,,,"Less than $15,000",
2656,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,44.8,796.0,,,,,,Non-Hispanic Black
2658,2018,New York,Percent of adults aged 18 years and older who have obesity,31.2,8839.0,,,High school graduate,,,
2659,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,38.8,554.0,,,,,"Less than $15,000",
2661,2018,Nevada,Percent of adults aged 18 years and older who have obesity,10.2,237.0,,18 - 24,,,,
2662,2018,Washington,Percent of adults aged 18 years and older who have obesity,35.9,51.0,,,,,,Hawaiian/Pacific Islander
2664,2018,Washington,Percent of adults aged 18 years and older who have obesity,28.0,6131.0,,,,Female,,
2665,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,24.3,281.0,,18 - 24,,,,
2667,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,38.1,772.0,,,,,"$15,000 - $24,999",
2669,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,33.0,3125.0,,,,,,Non-Hispanic White
2670,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,31.8,2448.0,,,,,"$50,000 - $74,999",
2671,2018,Vermont,Percent of adults aged 18 years and older who have obesity,37.7,76.0,,,,,,American Indian/Alaska Native
2672,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,36.2,498.0,,,,,"$25,000 - $34,999",
2673,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2674,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,37.0,1512.0,,,,,"Less than $15,000",
2675,2018,New York,Percent of adults aged 18 years and older who have obesity,33.1,2143.0,,,,,,Non-Hispanic Black
2676,2018,Oregon,Percent of adults aged 18 years and older who have obesity,43.3,57.0,,,,,,American Indian/Alaska Native
2677,2018,California,Percent of adults aged 18 years and older who have obesity,26.3,179.0,,,,,,Other
2678,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,36.6,8013.0,Total,,,,,
2679,2018,California,Percent of adults aged 18 years and older who have obesity,40.1,556.0,,,,,,Non-Hispanic Black
2680,2018,Florida,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2681,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,32.1,6744.0,,,,,,Non-Hispanic White
2682,2018,Nevada,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2684,2018,Guam,Percent of adults aged 18 years and older who have obesity,36.2,304.0,,,,,"$75,000 or greater",
2685,2018,Alaska,Percent of adults aged 18 years and older who have obesity,28.1,61.0,,,,,,Asian
2686,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,40.3,141.0,,,,,,Hispanic
2687,2018,Alaska,Percent of adults aged 18 years and older who have obesity,30.7,165.0,,,Less than high school,,,
2689,2018,Guam,Percent of adults aged 18 years and older who have obesity,20.6,323.0,,65 or older,,,,
2691,2018,Texas,Percent of adults aged 18 years and older who have obesity,32.7,1721.0,,,,,Data not reported,
2692,2018,Montana,Percent of adults aged 18 years and older who have obesity,31.7,627.0,,45 - 54,,,,
2694,2018,Montana,Percent of adults aged 18 years and older who have obesity,28.9,452.0,,25 - 34,,,,
2696,2018,Colorado,Percent of adults aged 18 years and older who have obesity,26.8,1667.0,,55 - 64,,,,
2697,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,35.5,349.0,,,Less than high school,,,
2698,2018,Maryland,Percent of adults aged 18 years and older who have obesity,28.8,11319.0,,,,,,Non-Hispanic White
2699,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,37.7,80.0,,,,,,Hispanic
2700,2018,Iowa,Percent of adults aged 18 years and older who have obesity,36.8,2521.0,,,Some college or technical school,,,
2701,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.7,1230.0,,55 - 64,,,,
2702,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,36.6,66.0,,,,,,2 or more races
2704,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,21.7,545.0,,,,,Data not reported,
2705,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,,,,,,,,2 or more races
2706,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,28.1,2764.0,,,,Female,,
2707,2018,Illinois,Percent of adults aged 18 years and older who have obesity,29.8,561.0,,,,,"$35,000 - $49,999",
2708,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,41.0,64.0,,,,,,Hispanic
2709,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,26.1,7675.0,,,,,,Non-Hispanic White
2711,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,31.5,866.0,,,,,"$35,000 - $49,999",
2712,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,25.8,355.0,,18 - 24,,,,
2713,2018,Delaware,Percent of adults aged 18 years and older who have obesity,37.4,688.0,,,,,"$15,000 - $24,999",
2714,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,28.6,2327.0,,,Some college or technical school,,,
2715,2018,Arizona,Percent of adults aged 18 years and older who have obesity,33.0,736.0,,25 - 34,,,,
2716,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,36.2,795.0,,,,,"$50,000 - $74,999",
2717,2018,Utah,Percent of adults aged 18 years and older who have obesity,29.1,453.0,,,Less than high school,,,
2718,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,34.1,1492.0,,,College graduate,,,
2719,2018,Texas,Percent of adults aged 18 years and older who have obesity,40.2,840.0,,,,,"$25,000 - $34,999",
2720,2018,New York,Percent of adults aged 18 years and older who have obesity,27.0,10312.0,,65 or older,,,,
2721,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,31.2,478.0,,,Less than high school,,,
2722,2018,Maine,Percent of adults aged 18 years and older who have obesity,31.5,4469.0,,,,Male,,
2723,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,40.3,940.0,,45 - 54,,,,
2724,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,32.3,701.0,,25 - 34,,,,
2725,2018,Montana,Percent of adults aged 18 years and older who have obesity,26.4,1381.0,,,High school graduate,,,
2726,2018,Ohio,Percent of adults aged 18 years and older who have obesity,36.7,4297.0,,,High school graduate,,,
2727,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,23.0,3786.0,,,,Female,,
2728,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,30.9,5754.0,Total,,,,,
2729,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,50.5,529.0,,,,,"Less than $15,000",
2730,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2731,2018,Delaware,Percent of adults aged 18 years and older who have obesity,41.0,643.0,,,,,,Non-Hispanic Black
2732,2018,Delaware,Percent of adults aged 18 years and older who have obesity,34.2,1326.0,,,High school graduate,,,
2733,2018,Alaska,Percent of adults aged 18 years and older who have obesity,24.0,945.0,,,College graduate,,,
2734,2018,Indiana,Percent of adults aged 18 years and older who have obesity,37.1,967.0,,,,,"$50,000 - $74,999",
2735,2018,Illinois,Percent of adults aged 18 years and older who have obesity,31.8,4973.0,Total,,,,,
2736,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,50.2,213.0,,,,,,American Indian/Alaska Native
2737,2018,Florida,Percent of adults aged 18 years and older who have obesity,30.2,7407.0,,,,Female,,
2738,2018,Kansas,Percent of adults aged 18 years and older who have obesity,33.8,8548.0,,,,,,Non-Hispanic White
2739,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,42.1,756.0,,,,,"$25,000 - $34,999",
2741,2018,Washington,Percent of adults aged 18 years and older who have obesity,26.9,4658.0,,65 or older,,,,
2743,2018,Michigan,Percent of adults aged 18 years and older who have obesity,32.4,7759.0,,,,,,Non-Hispanic White
2744,2018,Nevada,Percent of adults aged 18 years and older who have obesity,31.5,432.0,,,,,"$50,000 - $74,999",
2745,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,"$50,000 - $74,999",
2747,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,45.8,816.0,,45 - 54,,,,
2750,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,19.4,159.0,,18 - 24,,,,
2751,2018,Vermont,Percent of adults aged 18 years and older who have obesity,26.7,460.0,,25 - 34,,,,
2752,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,36.9,995.0,,,Less than high school,,,
2753,2018,Kansas,Percent of adults aged 18 years and older who have obesity,40.7,1469.0,,45 - 54,,,,
2754,2018,Alaska,Percent of adults aged 18 years and older who have obesity,34.7,176.0,,,,,"Less than $15,000",
2756,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,38.5,2545.0,,,,Female,,
2757,2018,Iowa,Percent of adults aged 18 years and older who have obesity,39.8,112.0,,,,,,2 or more races
2758,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,40.0,551.0,,,,,"$50,000 - $74,999",
2759,2018,National,Percent of adults aged 18 years and older who have obesity,33.1,107339.0,,,High school graduate,,,
2760,2018,National,Percent of adults aged 18 years and older who have obesity,32.0,7856.0,,,,,,2 or more races
2761,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,25.8,824.0,,65 or older,,,,
2762,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,44.2,1219.0,,55 - 64,,,,
2764,2018,Oregon,Percent of adults aged 18 years and older who have obesity,29.2,2617.0,,,,Male,,
2765,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,27.5,7673.0,,,,Female,,
2766,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,12.0,195.0,,18 - 24,,,,
2767,2018,Maryland,Percent of adults aged 18 years and older who have obesity,12.8,335.0,,,,,,Asian
2768,2018,Maryland,Percent of adults aged 18 years and older who have obesity,35.1,833.0,,,Less than high school,,,
